description,name,url
윤활유,윤활유,200L
하우톤,하우톤 절삭유240E,20L
쉘,토나T*32(습동면유),20L
GS,GS 란도*46(유압유),20L
에임텍,AIM CUT 101(절삭유),20L
하우톤,하우톤 절삭유240E,20L
쉘,토나T S2 M *68(습동면유),20L
미창,Micking EP*32(유압유),20L
미창,Micking EP*46(유압유),20L
미창,Micking EP*46(유압유),200L
쉘,토나T S2 M *68(습동면유),20L
쉘,텔라스*32(유압유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
캐스,캐스 Almaredgo 230K(절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
GX케미칼,GX 코타루-8000(수용성절삭유),20L
유니온캐미(서스용),텝핑유,18KG
하우톤,COOL 293A(수용성절삭유),20L
모빌,박트라NO2(습동면유),20L
쉘,텔라스*32(유압유),20L
이수화학,ISU 아졸라*46(유압유),20L
쉘,SHell Gadus S2 U460L(고온그리스),15KG
모빌,DTE-라이트(터빈*32),20L
신아정유,신아way#68(기계유),20L
슈퍼루브,"슈퍼루브(고온,고열)",2.5KG
한국유연,BECHEM(베켐)331S 절삭유,20L
쉘,토나T S2 M *68(습동면유),20L
GS,GS 란도*46(유압유),20L
하우톤,COOL 293A(수용성절삭유),20L
쉘,토나T S2 M *68(습동면유),20L
하우톤,텍틸 SYN 300(M)절삭유,200L
범우,EDM-211(방전유),20L
하우톤,하우톤 COOL  240E(절삭유),200L
쉘,SHell Gadus S2 U460L(고온그리스),15KG
쉘,토나 S2 M *68,200L
하우톤,하우톤 COOL  240E(절삭유),200L
이수화학,ISU 아졸라*46(유압유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
쉘,토나T S2 M *68(습동면유),20L
GS정유,GS 정유  E D M F (방전유),200L
쉘,토나T S2 M *68(습동면유),20L
PB-1,PB-1,20L
삼육특수유,100S (연마유),20L
쉘,토나T*32(습동면유),20L
모빌,박트라NO4(#220),20L
하우톤,COOL 293A(수용성절삭유),20L
